image,psnr,ssim,lpips
model_4b28a6fd5ce4669cc358e225f57fc25d_0/model_4b28a6fd5ce4669cc358e225f57fc25d_0_with_bg_5.png,18.3355,0.8498,0.1630
model_4b2e9db24e5683b29b03ce6265ee553a_0/model_4b2e9db24e5683b29b03ce6265ee553a_0_with_bg_1.png,15.1976,0.5859,0.4828
model_4b2e9db24e5683b29b03ce6265ee553a_0/model_4b2e9db24e5683b29b03ce6265ee553a_0_with_bg_2.png,22.9144,0.8282,0.2822
model_4b2e9db24e5683b29b03ce6265ee553a_0/model_4b2e9db24e5683b29b03ce6265ee553a_0_with_bg_4.png,18.5847,0.8742,0.2599
model_4b2e9db24e5683b29b03ce6265ee553a_0/model_4b2e9db24e5683b29b03ce6265ee553a_0_with_bg_5.png,17.6276,0.7076,0.2624
model_4d10f78c4c5557ef4169dc2fc1e400bb_0/model_4d10f78c4c5557ef4169dc2fc1e400bb_0_with_bg_0.png,17.8500,0.7872,0.1819
model_4d10f78c4c5557ef4169dc2fc1e400bb_0/model_4d10f78c4c5557ef4169dc2fc1e400bb_0_with_bg_1.png,25.0199,0.8760,0.1462
model_4d8094bec7ac69df21a6e2d95da1956b_0/model_4d8094bec7ac69df21a6e2d95da1956b_0_with_bg_0.png,24.0279,0.8575,0.2157
model_4dc19a6c5c137a663ad3667e57254df0_0/model_4dc19a6c5c137a663ad3667e57254df0_0_with_bg_1.png,21.6530,0.8964,0.1856
model_4dc19a6c5c137a663ad3667e57254df0_0/model_4dc19a6c5c137a663ad3667e57254df0_0_with_bg_3.png,19.6632,0.8676,0.4565
model_4dc19a6c5c137a663ad3667e57254df0_0/model_4dc19a6c5c137a663ad3667e57254df0_0_with_bg_4.png,19.1244,0.8708,0.1940
model_4dc19a6c5c137a663ad3667e57254df0_0/model_4dc19a6c5c137a663ad3667e57254df0_0_with_bg_5.png,23.1986,0.9360,0.2852
model_50899c21768abdda157b27d84e8afef1_0/model_50899c21768abdda157b27d84e8afef1_0_with_bg_0.png,20.1793,0.8444,0.2791
model_50899c21768abdda157b27d84e8afef1_0/model_50899c21768abdda157b27d84e8afef1_0_with_bg_1.png,17.4635,0.7432,0.4692
model_50899c21768abdda157b27d84e8afef1_0/model_50899c21768abdda157b27d84e8afef1_0_with_bg_2.png,16.5784,0.8398,0.2997
model_50899c21768abdda157b27d84e8afef1_0/model_50899c21768abdda157b27d84e8afef1_0_with_bg_3.png,25.4689,0.9774,0.0782
model_50899c21768abdda157b27d84e8afef1_0/model_50899c21768abdda157b27d84e8afef1_0_with_bg_4.png,21.8624,0.8693,0.1876
model_530f1e3ea863cbc3a5589d75f3d72daa_0/model_530f1e3ea863cbc3a5589d75f3d72daa_0_with_bg_0.png,15.5877,0.6101,0.4485
model_530f1e3ea863cbc3a5589d75f3d72daa_0/model_530f1e3ea863cbc3a5589d75f3d72daa_0_with_bg_2.png,18.9066,0.7453,0.2204
model_530f1e3ea863cbc3a5589d75f3d72daa_0/model_530f1e3ea863cbc3a5589d75f3d72daa_0_with_bg_5.png,25.4082,0.7743,0.2093
model_537b28ed805920824897f869af0d4a8d_0/model_537b28ed805920824897f869af0d4a8d_0_with_bg_0.png,16.3950,0.6805,0.4547
model_537b28ed805920824897f869af0d4a8d_0/model_537b28ed805920824897f869af0d4a8d_0_with_bg_3.png,23.6327,0.9160,0.1577
model_537b28ed805920824897f869af0d4a8d_0/model_537b28ed805920824897f869af0d4a8d_0_with_bg_4.png,20.2969,0.8658,0.2174
model_537b28ed805920824897f869af0d4a8d_0/model_537b28ed805920824897f869af0d4a8d_0_with_bg_5.png,24.2175,0.9755,0.1919
model_53895fb3d803f5057b103e68500ec605_0/model_53895fb3d803f5057b103e68500ec605_0_with_bg_2.png,13.5726,0.5522,0.5739
model_53895fb3d803f5057b103e68500ec605_0/model_53895fb3d803f5057b103e68500ec605_0_with_bg_4.png,18.3360,0.7633,0.2955
model_5415431cd8d8eb1084794447e23d9a8c_0/model_5415431cd8d8eb1084794447e23d9a8c_0_with_bg_0.png,16.6679,0.6828,0.4514
model_5415431cd8d8eb1084794447e23d9a8c_0/model_5415431cd8d8eb1084794447e23d9a8c_0_with_bg_3.png,18.5629,0.8623,0.1966
model_5415431cd8d8eb1084794447e23d9a8c_0/model_5415431cd8d8eb1084794447e23d9a8c_0_with_bg_4.png,24.0975,0.9771,0.1026
model_5415431cd8d8eb1084794447e23d9a8c_0/model_5415431cd8d8eb1084794447e23d9a8c_0_with_bg_5.png,21.5435,0.9575,0.2000
model_5422390a849c5d3ea823c04c5652deec_0/model_5422390a849c5d3ea823c04c5652deec_0_with_bg_1.png,15.2988,0.7335,0.3575
model_5422390a849c5d3ea823c04c5652deec_0/model_5422390a849c5d3ea823c04c5652deec_0_with_bg_2.png,22.6435,0.8677,0.1805
model_5422390a849c5d3ea823c04c5652deec_0/model_5422390a849c5d3ea823c04c5652deec_0_with_bg_4.png,15.9198,0.7743,0.2826
model_55391d8a695714486bf733bb2a7daa66_0/model_55391d8a695714486bf733bb2a7daa66_0_with_bg_0.png,20.5475,0.7705,0.3676
model_55391d8a695714486bf733bb2a7daa66_0/model_55391d8a695714486bf733bb2a7daa66_0_with_bg_1.png,19.6795,0.8103,0.3138
model_55391d8a695714486bf733bb2a7daa66_0/model_55391d8a695714486bf733bb2a7daa66_0_with_bg_2.png,22.6053,0.8453,0.2804
model_55391d8a695714486bf733bb2a7daa66_0/model_55391d8a695714486bf733bb2a7daa66_0_with_bg_3.png,22.9468,0.7669,0.2606
model_55391d8a695714486bf733bb2a7daa66_0/model_55391d8a695714486bf733bb2a7daa66_0_with_bg_4.png,31.6538,0.9716,0.0191
model_55391d8a695714486bf733bb2a7daa66_0/model_55391d8a695714486bf733bb2a7daa66_0_with_bg_5.png,28.0882,0.9745,0.0350
model_5708c27811ab0885df26c51e280d1a27_0/model_5708c27811ab0885df26c51e280d1a27_0_with_bg_2.png,12.9019,0.5795,0.5120
model_57785d2f969fdcbb9168fee7a0a7bd6d_0/model_57785d2f969fdcbb9168fee7a0a7bd6d_0_with_bg_0.png,17.4533,0.8111,0.1669
model_57785d2f969fdcbb9168fee7a0a7bd6d_0/model_57785d2f969fdcbb9168fee7a0a7bd6d_0_with_bg_1.png,24.1349,0.7528,0.1552
model_57785d2f969fdcbb9168fee7a0a7bd6d_0/model_57785d2f969fdcbb9168fee7a0a7bd6d_0_with_bg_2.png,26.1414,0.9899,0.0135
model_57785d2f969fdcbb9168fee7a0a7bd6d_0/model_57785d2f969fdcbb9168fee7a0a7bd6d_0_with_bg_4.png,18.1644,0.7459,0.2684
model_57785d2f969fdcbb9168fee7a0a7bd6d_0/model_57785d2f969fdcbb9168fee7a0a7bd6d_0_with_bg_5.png,15.3858,0.7645,0.2350
model_57d6a38fa13a55f7beaf52e60202ba31_0/model_57d6a38fa13a55f7beaf52e60202ba31_0_with_bg_0.png,10.5653,0.5907,0.4683
model_57d6a38fa13a55f7beaf52e60202ba31_0/model_57d6a38fa13a55f7beaf52e60202ba31_0_with_bg_1.png,21.3205,0.5971,0.2378
model_57d6a38fa13a55f7beaf52e60202ba31_0/model_57d6a38fa13a55f7beaf52e60202ba31_0_with_bg_2.png,7.2244,0.5668,0.4693
model_581993fc2e5aae4f13562c23530983dd_0/model_581993fc2e5aae4f13562c23530983dd_0_with_bg_0.png,11.6890,0.6703,0.3748
model_581993fc2e5aae4f13562c23530983dd_0/model_581993fc2e5aae4f13562c23530983dd_0_with_bg_1.png,20.3764,0.6005,0.2833
model_581993fc2e5aae4f13562c23530983dd_0/model_581993fc2e5aae4f13562c23530983dd_0_with_bg_2.png,19.8849,0.7892,0.2139
model_58397bb09bfea7a8f8e1a80e86bb08e4_0/model_58397bb09bfea7a8f8e1a80e86bb08e4_0_with_bg_0.png,21.4229,0.7901,0.3085
model_58397bb09bfea7a8f8e1a80e86bb08e4_0/model_58397bb09bfea7a8f8e1a80e86bb08e4_0_with_bg_1.png,18.6869,0.7396,0.3887
model_58397bb09bfea7a8f8e1a80e86bb08e4_0/model_58397bb09bfea7a8f8e1a80e86bb08e4_0_with_bg_2.png,22.5361,0.8489,0.2863
model_58397bb09bfea7a8f8e1a80e86bb08e4_0/model_58397bb09bfea7a8f8e1a80e86bb08e4_0_with_bg_3.png,23.0614,0.7728,0.2731
model_58397bb09bfea7a8f8e1a80e86bb08e4_0/model_58397bb09bfea7a8f8e1a80e86bb08e4_0_with_bg_4.png,27.1626,0.9767,0.0387
model_58397bb09bfea7a8f8e1a80e86bb08e4_0/model_58397bb09bfea7a8f8e1a80e86bb08e4_0_with_bg_5.png,21.3865,0.8890,0.1182
model_59132218d380c69f5f507e6abdda0ee7_0/model_59132218d380c69f5f507e6abdda0ee7_0_with_bg_0.png,23.8110,0.8791,0.2116
model_59132218d380c69f5f507e6abdda0ee7_0/model_59132218d380c69f5f507e6abdda0ee7_0_with_bg_1.png,21.2942,0.8592,0.2619
model_5a3b7929eb428e782b54fd8422219002_0/model_5a3b7929eb428e782b54fd8422219002_0_with_bg_1.png,21.8529,0.7386,0.2413
model_5a3b7929eb428e782b54fd8422219002_0/model_5a3b7929eb428e782b54fd8422219002_0_with_bg_2.png,25.0783,0.9377,0.0553
model_5a3b7929eb428e782b54fd8422219002_0/model_5a3b7929eb428e782b54fd8422219002_0_with_bg_5.png,16.0454,0.7371,0.2740
model_5af3c9049e217021686359d76d2b2364_0/model_5af3c9049e217021686359d76d2b2364_0_with_bg_2.png,15.9493,0.7450,0.4036
model_5af3c9049e217021686359d76d2b2364_0/model_5af3c9049e217021686359d76d2b2364_0_with_bg_3.png,27.3292,0.9855,0.0677
model_5af3c9049e217021686359d76d2b2364_0/model_5af3c9049e217021686359d76d2b2364_0_with_bg_4.png,17.7193,0.8290,0.1975
model_5af3c9049e217021686359d76d2b2364_0/model_5af3c9049e217021686359d76d2b2364_0_with_bg_5.png,23.7905,0.9132,0.1939
model_5b288d53070ceec87f070a0925eba860_0/model_5b288d53070ceec87f070a0925eba860_0_with_bg_0.png,21.8560,0.8233,0.2428
model_5b288d53070ceec87f070a0925eba860_0/model_5b288d53070ceec87f070a0925eba860_0_with_bg_2.png,19.7632,0.7853,0.2693
model_5bbbd369c47201bae4d9289bdaf887b6_0/model_5bbbd369c47201bae4d9289bdaf887b6_0_with_bg_1.png,14.2668,0.6001,0.5586
model_5bd6021b5f1972e2d5869278a0df9041_0/model_5bd6021b5f1972e2d5869278a0df9041_0_with_bg_2.png,22.3219,0.9087,0.1877
model_5bd6021b5f1972e2d5869278a0df9041_0/model_5bd6021b5f1972e2d5869278a0df9041_0_with_bg_3.png,20.3602,0.5310,0.3677
model_5bd6021b5f1972e2d5869278a0df9041_0/model_5bd6021b5f1972e2d5869278a0df9041_0_with_bg_4.png,22.4935,0.8042,0.4694
model_5bd6021b5f1972e2d5869278a0df9041_0/model_5bd6021b5f1972e2d5869278a0df9041_0_with_bg_5.png,28.1785,0.8861,0.3157
model_5cb52efdcc62736bc317932cc8441d9b_0/model_5cb52efdcc62736bc317932cc8441d9b_0_with_bg_0.png,15.4607,0.5399,0.3965
model_5cb52efdcc62736bc317932cc8441d9b_0/model_5cb52efdcc62736bc317932cc8441d9b_0_with_bg_3.png,19.1821,0.7020,0.2573
model_5cb52efdcc62736bc317932cc8441d9b_0/model_5cb52efdcc62736bc317932cc8441d9b_0_with_bg_4.png,20.5814,0.6041,0.2251
model_5cb52efdcc62736bc317932cc8441d9b_0/model_5cb52efdcc62736bc317932cc8441d9b_0_with_bg_5.png,21.1578,0.8065,0.2715
model_5cee222501abc9d35d6d48cb22e472a7_0/model_5cee222501abc9d35d6d48cb22e472a7_0_with_bg_0.png,14.5694,0.5626,0.4875
model_5cee222501abc9d35d6d48cb22e472a7_0/model_5cee222501abc9d35d6d48cb22e472a7_0_with_bg_1.png,13.4880,0.5655,0.4902
model_5cee222501abc9d35d6d48cb22e472a7_0/model_5cee222501abc9d35d6d48cb22e472a7_0_with_bg_2.png,18.8097,0.6573,0.2927
model_5cee222501abc9d35d6d48cb22e472a7_0/model_5cee222501abc9d35d6d48cb22e472a7_0_with_bg_3.png,21.1494,0.8679,0.1849
model_5cee222501abc9d35d6d48cb22e472a7_0/model_5cee222501abc9d35d6d48cb22e472a7_0_with_bg_4.png,17.5481,0.8687,0.2209
model_5cee222501abc9d35d6d48cb22e472a7_0/model_5cee222501abc9d35d6d48cb22e472a7_0_with_bg_5.png,22.3904,0.7321,0.1941
model_5eb398895ecd3a726d31cb6046f6a454_0/model_5eb398895ecd3a726d31cb6046f6a454_0_with_bg_2.png,18.2073,0.8216,0.2330
model_5ef7ac49139a2cff25060d0ca186f29c_0/model_5ef7ac49139a2cff25060d0ca186f29c_0_with_bg_1.png,15.5079,0.6152,0.5831
model_5ef7ac49139a2cff25060d0ca186f29c_0/model_5ef7ac49139a2cff25060d0ca186f29c_0_with_bg_3.png,15.3622,0.9275,0.2324
model_5ef7ac49139a2cff25060d0ca186f29c_0/model_5ef7ac49139a2cff25060d0ca186f29c_0_with_bg_4.png,28.1335,0.9852,0.0275
model_5ef7ac49139a2cff25060d0ca186f29c_0/model_5ef7ac49139a2cff25060d0ca186f29c_0_with_bg_5.png,25.3377,0.9834,0.1028
model_5ffb33c90e8f86778a1d0a03112a9e1f_0/model_5ffb33c90e8f86778a1d0a03112a9e1f_0_with_bg_0.png,16.8918,0.9174,0.1173
model_5ffb33c90e8f86778a1d0a03112a9e1f_0/model_5ffb33c90e8f86778a1d0a03112a9e1f_0_with_bg_1.png,21.0650,0.7804,0.1727
model_60cdc458b8dd1e591e9acb0841209da5_0/model_60cdc458b8dd1e591e9acb0841209da5_0_with_bg_2.png,12.4583,0.4689,0.6382
model_60cdc458b8dd1e591e9acb0841209da5_0/model_60cdc458b8dd1e591e9acb0841209da5_0_with_bg_5.png,21.9802,0.8655,0.3051
model_617ee0fe03de2b674f7dd12d92668d43_0/model_617ee0fe03de2b674f7dd12d92668d43_0_with_bg_1.png,21.1837,0.7607,0.3295
model_617ee0fe03de2b674f7dd12d92668d43_0/model_617ee0fe03de2b674f7dd12d92668d43_0_with_bg_2.png,16.1874,0.7893,0.2512
model_64ab75ea6f6ebf9ef82c37e0a9da422d_0/model_64ab75ea6f6ebf9ef82c37e0a9da422d_0_with_bg_1.png,20.0040,0.7983,0.3406
model_64ab75ea6f6ebf9ef82c37e0a9da422d_0/model_64ab75ea6f6ebf9ef82c37e0a9da422d_0_with_bg_4.png,19.6930,0.7411,0.3562
model_6528d8f6cb9f7cea128669eb32d54aa0_0/model_6528d8f6cb9f7cea128669eb32d54aa0_0_with_bg_1.png,21.2345,0.8437,0.2830
model_68804d8de1471394dde0b647de3226dd_0/model_68804d8de1471394dde0b647de3226dd_0_with_bg_0.png,12.9221,0.7683,0.2633
model_68804d8de1471394dde0b647de3226dd_0/model_68804d8de1471394dde0b647de3226dd_0_with_bg_3.png,27.4384,0.9855,0.0772
model_69145a71eef0644a40e888cd5cd3d718_0/model_69145a71eef0644a40e888cd5cd3d718_0_with_bg_1.png,16.4131,0.6829,0.5029
model_69145a71eef0644a40e888cd5cd3d718_0/model_69145a71eef0644a40e888cd5cd3d718_0_with_bg_3.png,19.7488,0.9526,0.0773
model_69145a71eef0644a40e888cd5cd3d718_0/model_69145a71eef0644a40e888cd5cd3d718_0_with_bg_4.png,23.5584,0.9265,0.0712
model_69145a71eef0644a40e888cd5cd3d718_0/model_69145a71eef0644a40e888cd5cd3d718_0_with_bg_5.png,24.0387,0.9684,0.1905
model_6a4368027dbc80bb82c3d535546fd2cf_0/model_6a4368027dbc80bb82c3d535546fd2cf_0_with_bg_4.png,17.2545,0.7131,0.3557
model_6aad82126e021a53a3a4023a87a934b7_0/model_6aad82126e021a53a3a4023a87a934b7_0_with_bg_0.png,11.7187,0.6701,0.3752
model_6aad82126e021a53a3a4023a87a934b7_0/model_6aad82126e021a53a3a4023a87a934b7_0_with_bg_1.png,20.0019,0.5928,0.2852
model_6aad82126e021a53a3a4023a87a934b7_0/model_6aad82126e021a53a3a4023a87a934b7_0_with_bg_2.png,19.4915,0.7850,0.2169
model_6b93eeb8c4173f0a8704444097047ff9_0/model_6b93eeb8c4173f0a8704444097047ff9_0_with_bg_1.png,17.6148,0.8778,0.1339
model_6b93eeb8c4173f0a8704444097047ff9_0/model_6b93eeb8c4173f0a8704444097047ff9_0_with_bg_2.png,13.6714,0.7551,0.3128
model_6b93eeb8c4173f0a8704444097047ff9_0/model_6b93eeb8c4173f0a8704444097047ff9_0_with_bg_3.png,14.9288,0.7958,0.2852
model_6b93eeb8c4173f0a8704444097047ff9_0/model_6b93eeb8c4173f0a8704444097047ff9_0_with_bg_4.png,18.0346,0.7657,0.2667
model_6bb518207a7e2cddccaef8c3ca3d6911_0/model_6bb518207a7e2cddccaef8c3ca3d6911_0_with_bg_4.png,23.2812,0.9698,0.0879
model_6bb518207a7e2cddccaef8c3ca3d6911_0/model_6bb518207a7e2cddccaef8c3ca3d6911_0_with_bg_5.png,10.5319,0.4876,0.4652
model_6bd0f78b935f169c47c8a166ac0e7d5c_0/model_6bd0f78b935f169c47c8a166ac0e7d5c_0_with_bg_2.png,18.0479,0.7333,0.4632
model_6bd0f78b935f169c47c8a166ac0e7d5c_0/model_6bd0f78b935f169c47c8a166ac0e7d5c_0_with_bg_3.png,24.5519,0.4466,0.2869
model_6bd0f78b935f169c47c8a166ac0e7d5c_0/model_6bd0f78b935f169c47c8a166ac0e7d5c_0_with_bg_4.png,20.7168,0.9472,0.1350
model_6ca19e6b3a53bae9de5d9f566fcf177a_0/model_6ca19e6b3a53bae9de5d9f566fcf177a_0_with_bg_0.png,13.0714,0.7787,0.2445
model_6ca19e6b3a53bae9de5d9f566fcf177a_0/model_6ca19e6b3a53bae9de5d9f566fcf177a_0_with_bg_2.png,24.0245,0.9724,0.0366
model_6ca19e6b3a53bae9de5d9f566fcf177a_0/model_6ca19e6b3a53bae9de5d9f566fcf177a_0_with_bg_3.png,27.3726,0.9853,0.0737
model_6d8e44485895572b312547bc918d250b_0/model_6d8e44485895572b312547bc918d250b_0_with_bg_0.png,19.9194,0.6157,0.2893
model_6d8e44485895572b312547bc918d250b_0/model_6d8e44485895572b312547bc918d250b_0_with_bg_1.png,24.4395,0.9731,0.2143
model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0/model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0_with_bg_0.png,14.4140,0.5794,0.5782
model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0/model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0_with_bg_3.png,20.5088,0.9118,0.1804
model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0/model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0_with_bg_4.png,18.6671,0.9141,0.2537
model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0/model_6dd3fbfde87aeb4bf28fd2ebee49cf90_0_with_bg_5.png,22.5786,0.8691,0.1433
model_6f029f90e15f5e4042a7d63bd5ecce49_0/model_6f029f90e15f5e4042a7d63bd5ecce49_0_with_bg_1.png,17.8218,0.6609,0.3249
model_6f029f90e15f5e4042a7d63bd5ecce49_0/model_6f029f90e15f5e4042a7d63bd5ecce49_0_with_bg_2.png,12.5235,0.4382,0.6670
model_7111a3a3178b08c4c08561d491cd049d_0/model_7111a3a3178b08c4c08561d491cd049d_0_with_bg_2.png,14.1423,0.6813,0.3410
model_7111a3a3178b08c4c08561d491cd049d_0/model_7111a3a3178b08c4c08561d491cd049d_0_with_bg_4.png,16.4885,0.6972,0.3176
model_724cc1bf5f4d5c337be19065f62a5b9b_0/model_724cc1bf5f4d5c337be19065f62a5b9b_0_with_bg_0.png,18.5054,0.7219,0.3451
model_724cc1bf5f4d5c337be19065f62a5b9b_0/model_724cc1bf5f4d5c337be19065f62a5b9b_0_with_bg_1.png,13.1363,0.5277,0.5240
model_724cc1bf5f4d5c337be19065f62a5b9b_0/model_724cc1bf5f4d5c337be19065f62a5b9b_0_with_bg_2.png,19.5536,0.8206,0.1742
model_724cc1bf5f4d5c337be19065f62a5b9b_0/model_724cc1bf5f4d5c337be19065f62a5b9b_0_with_bg_5.png,22.0220,0.8941,0.0945
model_72d1b53d4706f289f89a7ab94dd10b84_0/model_72d1b53d4706f289f89a7ab94dd10b84_0_with_bg_2.png,16.5816,0.7873,0.2684
model_7372e79ad58fe463d00d5668530f4c67_0/model_7372e79ad58fe463d00d5668530f4c67_0_with_bg_1.png,16.8368,0.8044,0.2074
model_73cfdb785448e897da6b27546f3e4b64_0/model_73cfdb785448e897da6b27546f3e4b64_0_with_bg_0.png,18.3682,0.9344,0.0878
model_73cfdb785448e897da6b27546f3e4b64_0/model_73cfdb785448e897da6b27546f3e4b64_0_with_bg_1.png,22.1025,0.7373,0.2153
model_73cfdb785448e897da6b27546f3e4b64_0/model_73cfdb785448e897da6b27546f3e4b64_0_with_bg_4.png,20.9346,0.7949,0.3474
model_73df2d9038831388c38ce0cad523ddfb_0/model_73df2d9038831388c38ce0cad523ddfb_0_with_bg_0.png,14.7228,0.5186,0.5854
model_73df2d9038831388c38ce0cad523ddfb_0/model_73df2d9038831388c38ce0cad523ddfb_0_with_bg_4.png,17.1356,0.6728,0.2953
model_749a4b3339b80f526e09464e44174dc2_0/model_749a4b3339b80f526e09464e44174dc2_0_with_bg_0.png,15.2578,0.5970,0.5255
model_74d84c5f19aa06981f494eadf61dbc10_0/model_74d84c5f19aa06981f494eadf61dbc10_0_with_bg_2.png,14.6908,0.7115,0.3564
model_74d84c5f19aa06981f494eadf61dbc10_0/model_74d84c5f19aa06981f494eadf61dbc10_0_with_bg_5.png,19.6691,0.8486,0.2241
model_74f4404087faf3750276f01b9ea21ef7_0/model_74f4404087faf3750276f01b9ea21ef7_0_with_bg_0.png,20.6132,0.9112,0.1398
model_74f4404087faf3750276f01b9ea21ef7_0/model_74f4404087faf3750276f01b9ea21ef7_0_with_bg_2.png,12.9767,0.4968,0.6205
model_75072c77146b45d3ce6a116200fdc3dc_0/model_75072c77146b45d3ce6a116200fdc3dc_0_with_bg_0.png,21.9457,0.7580,0.2065
model_75072c77146b45d3ce6a116200fdc3dc_0/model_75072c77146b45d3ce6a116200fdc3dc_0_with_bg_1.png,25.7833,0.9734,0.2104
model_75072c77146b45d3ce6a116200fdc3dc_0/model_75072c77146b45d3ce6a116200fdc3dc_0_with_bg_2.png,21.6125,0.9429,0.2040
model_75072c77146b45d3ce6a116200fdc3dc_0/model_75072c77146b45d3ce6a116200fdc3dc_0_with_bg_4.png,20.8026,0.6922,0.2681
model_75407ed11587fd3f37dcba049640d923_0/model_75407ed11587fd3f37dcba049640d923_0_with_bg_3.png,21.6696,0.8450,0.3037
model_75407ed11587fd3f37dcba049640d923_0/model_75407ed11587fd3f37dcba049640d923_0_with_bg_4.png,23.6529,0.9310,0.1301
model_75407ed11587fd3f37dcba049640d923_0/model_75407ed11587fd3f37dcba049640d923_0_with_bg_5.png,18.5922,0.8768,0.3887
model_758527e44811dd322f7965980f673e0a_0/model_758527e44811dd322f7965980f673e0a_0_with_bg_0.png,17.6863,0.7621,0.3126
model_758527e44811dd322f7965980f673e0a_0/model_758527e44811dd322f7965980f673e0a_0_with_bg_2.png,15.1141,0.6808,0.3906
model_758527e44811dd322f7965980f673e0a_0/model_758527e44811dd322f7965980f673e0a_0_with_bg_3.png,18.4924,0.8819,0.2506
model_758527e44811dd322f7965980f673e0a_0/model_758527e44811dd322f7965980f673e0a_0_with_bg_4.png,15.9949,0.7953,0.3434
model_767ca46a4b51f40246a2742b80f50ad5_0/model_767ca46a4b51f40246a2742b80f50ad5_0_with_bg_0.png,15.3513,0.6871,0.4009
model_767ca46a4b51f40246a2742b80f50ad5_0/model_767ca46a4b51f40246a2742b80f50ad5_0_with_bg_1.png,18.7262,0.7667,0.2859
model_767ca46a4b51f40246a2742b80f50ad5_0/model_767ca46a4b51f40246a2742b80f50ad5_0_with_bg_2.png,20.1940,0.7841,0.1581
model_767ca46a4b51f40246a2742b80f50ad5_0/model_767ca46a4b51f40246a2742b80f50ad5_0_with_bg_3.png,18.7453,0.6537,0.2549
model_7850adaeead21a67550d1063c0aacc26_0/model_7850adaeead21a67550d1063c0aacc26_0_with_bg_1.png,17.2943,0.8080,0.2179
model_78a53b6235424a69c78125820024c2d2_0/model_78a53b6235424a69c78125820024c2d2_0_with_bg_0.png,15.2195,0.6529,0.5152
model_78a53b6235424a69c78125820024c2d2_0/model_78a53b6235424a69c78125820024c2d2_0_with_bg_1.png,13.6892,0.4878,0.5899
model_78a53b6235424a69c78125820024c2d2_0/model_78a53b6235424a69c78125820024c2d2_0_with_bg_2.png,18.5841,0.7800,0.3518
model_78a53b6235424a69c78125820024c2d2_0/model_78a53b6235424a69c78125820024c2d2_0_with_bg_4.png,18.2960,0.8581,0.2949
model_79ab4992f83b46648b56350d7d283504_0/model_79ab4992f83b46648b56350d7d283504_0_with_bg_1.png,16.8985,0.6433,0.5228
model_79ab4992f83b46648b56350d7d283504_0/model_79ab4992f83b46648b56350d7d283504_0_with_bg_2.png,15.6601,0.7246,0.3369
model_79ab4992f83b46648b56350d7d283504_0/model_79ab4992f83b46648b56350d7d283504_0_with_bg_4.png,22.2498,0.9596,0.1578
model_79ab4992f83b46648b56350d7d283504_0/model_79ab4992f83b46648b56350d7d283504_0_with_bg_5.png,22.3615,0.9661,0.2342
model_79f8bb27167c4f1912943099a6d14653_0/model_79f8bb27167c4f1912943099a6d14653_0_with_bg_2.png,12.4799,0.4448,0.6587
model_79f8bb27167c4f1912943099a6d14653_0/model_79f8bb27167c4f1912943099a6d14653_0_with_bg_5.png,22.4821,0.8701,0.3055
model_7c096adc2d96bde7c3ad8055be46c64b_0/model_7c096adc2d96bde7c3ad8055be46c64b_0_with_bg_0.png,22.9835,0.7426,0.2643
model_7c096adc2d96bde7c3ad8055be46c64b_0/model_7c096adc2d96bde7c3ad8055be46c64b_0_with_bg_2.png,21.7886,0.7969,0.1937
model_7c096adc2d96bde7c3ad8055be46c64b_0/model_7c096adc2d96bde7c3ad8055be46c64b_0_with_bg_4.png,16.5909,0.6970,0.3579
model_7dff8cf34c0b9b38d0b0a230e205e801_0/model_7dff8cf34c0b9b38d0b0a230e205e801_0_with_bg_0.png,21.7108,0.8007,0.3541
model_7dff8cf34c0b9b38d0b0a230e205e801_0/model_7dff8cf34c0b9b38d0b0a230e205e801_0_with_bg_3.png,23.4125,0.7631,0.2877
model_7dff8cf34c0b9b38d0b0a230e205e801_0/model_7dff8cf34c0b9b38d0b0a230e205e801_0_with_bg_4.png,33.5024,0.9868,0.0180
model_7dff8cf34c0b9b38d0b0a230e205e801_0/model_7dff8cf34c0b9b38d0b0a230e205e801_0_with_bg_5.png,19.9495,0.8452,0.2024
model_7ee203142b5df44cd32359bab8d3719d_0/model_7ee203142b5df44cd32359bab8d3719d_0_with_bg_3.png,19.9699,0.9466,0.1839
model_7ee203142b5df44cd32359bab8d3719d_0/model_7ee203142b5df44cd32359bab8d3719d_0_with_bg_4.png,20.0137,0.7401,0.1557
model_7fa4cba0d9ebd5065ce7588dceec7d64_0/model_7fa4cba0d9ebd5065ce7588dceec7d64_0_with_bg_1.png,17.1256,0.8073,0.2071
model_805e54bd9b3836079cab1b95079a5f56_0/model_805e54bd9b3836079cab1b95079a5f56_0_with_bg_0.png,13.3549,0.7796,0.2455
model_805e54bd9b3836079cab1b95079a5f56_0/model_805e54bd9b3836079cab1b95079a5f56_0_with_bg_2.png,24.0972,0.9734,0.0360
model_805e54bd9b3836079cab1b95079a5f56_0/model_805e54bd9b3836079cab1b95079a5f56_0_with_bg_3.png,27.7720,0.9858,0.0752
