image,psnr,ssim,lpips
Component_110/Component_110_with_bg_3.png,26.0331,0.8842,0.1177
Component_110/Component_110_with_bg_4.png,19.0738,0.6837,0.2823
Component_110/Component_110_with_bg_5.png,17.2334,0.6643,0.2877
Component_111/Component_111_with_bg_0.png,14.2008,0.5600,0.3206
Component_111/Component_111_with_bg_1.png,15.8040,0.6945,0.3307
Component_111/Component_111_with_bg_3.png,10.9566,0.4315,0.5042
Component_111/Component_111_with_bg_4.png,18.8206,0.7098,0.3171
Component_112/Component_112_with_bg_3.png,23.9589,0.6540,0.2237
Component_112/Component_112_with_bg_4.png,9.9897,0.6375,0.5289
Component_113/Component_113_with_bg_0.png,9.5366,0.4619,0.5620
Component_113/Component_113_with_bg_1.png,15.8523,0.7040,0.3129
Component_113/Component_113_with_bg_3.png,12.1938,0.6876,0.4680
Component_113/Component_113_with_bg_4.png,13.3540,0.7092,0.4578
Component_113/Component_113_with_bg_5.png,24.4665,0.9529,0.1311
Component_114/Component_114_with_bg_0.png,22.7494,0.9164,0.2024
Component_114/Component_114_with_bg_1.png,14.9418,0.6342,0.3576
Component_114/Component_114_with_bg_3.png,14.7205,0.8572,0.3152
Component_114/Component_114_with_bg_4.png,11.5805,0.7079,0.4214
Component_114/Component_114_with_bg_5.png,18.0633,0.8404,0.1962
Component_115/Component_115_with_bg_0.png,11.4126,0.6004,0.4955
Component_115/Component_115_with_bg_2.png,8.9881,0.0163,0.5585
Component_115/Component_115_with_bg_3.png,11.0851,0.5012,0.4989
Component_115/Component_115_with_bg_4.png,10.5595,0.4357,0.6204
Component_115/Component_115_with_bg_5.png,9.0080,0.0276,0.5642
Component_116/Component_116_with_bg_0.png,8.7661,0.0098,0.6306
Component_116/Component_116_with_bg_1.png,9.1332,0.0166,0.6019
Component_116/Component_116_with_bg_2.png,12.6534,0.5516,0.5035
Component_116/Component_116_with_bg_3.png,8.5545,0.0066,0.6452
Component_116/Component_116_with_bg_4.png,8.7356,0.0151,0.5718
Component_116/Component_116_with_bg_5.png,12.2254,0.5278,0.5207
Component_117/Component_117_with_bg_0.png,8.9809,0.0135,0.6228
Component_117/Component_117_with_bg_1.png,8.9048,0.0173,0.5781
Component_117/Component_117_with_bg_2.png,11.7254,0.4628,0.5567
Component_117/Component_117_with_bg_3.png,8.6123,0.0088,0.6300
Component_117/Component_117_with_bg_4.png,8.5965,0.0205,0.5786
Component_117/Component_117_with_bg_5.png,12.0944,0.5202,0.5005
Component_118/Component_118_with_bg_0.png,11.4914,0.5608,0.5187
Component_118/Component_118_with_bg_2.png,9.1297,0.0179,0.5603
Component_118/Component_118_with_bg_3.png,10.7626,0.4667,0.5668
Component_118/Component_118_with_bg_4.png,10.7478,0.4319,0.6017
Component_118/Component_118_with_bg_5.png,8.7974,0.0264,0.5815
Component_119/Component_119_with_bg_3.png,22.5723,0.5014,0.4417
Component_119/Component_119_with_bg_4.png,11.0203,0.6823,0.4701
Component_119/Component_119_with_bg_5.png,10.7470,0.7593,0.3788
Component_12/Component_12_with_bg_0.png,14.5450,0.7002,0.2154
Component_12/Component_12_with_bg_4.png,18.7441,0.7917,0.0874
Component_12/Component_12_with_bg_5.png,17.9720,0.5893,0.1074
Component_120/Component_120_with_bg_2.png,15.3038,0.5865,0.3147
Component_120/Component_120_with_bg_3.png,22.5708,0.4988,0.4508
Component_120/Component_120_with_bg_4.png,10.4182,0.6788,0.4466
Component_120/Component_120_with_bg_5.png,24.5752,0.9521,0.1237
Component_121/Component_121_with_bg_0.png,17.7905,0.7708,0.4004
Component_121/Component_121_with_bg_2.png,16.2730,0.6332,0.2902
Component_121/Component_121_with_bg_4.png,7.6493,0.0702,0.8339
Component_122/Component_122_with_bg_1.png,16.1733,0.6987,0.3237
Component_122/Component_122_with_bg_2.png,16.7777,0.6773,0.2963
Component_122/Component_122_with_bg_3.png,23.4651,0.5717,0.3193
Component_122/Component_122_with_bg_4.png,12.1458,0.6843,0.4506
Component_122/Component_122_with_bg_5.png,22.0667,0.9160,0.2063
Component_123/Component_123_with_bg_0.png,15.0053,0.8300,0.1164
Component_123/Component_123_with_bg_2.png,13.2663,0.7685,0.2663
Component_123/Component_123_with_bg_3.png,15.4926,0.3084,0.1528
Component_123/Component_123_with_bg_4.png,21.3469,0.9016,0.1765
Component_123/Component_123_with_bg_5.png,16.7051,0.8660,0.2929
Component_124/Component_124_with_bg_0.png,12.8799,0.7514,0.3141
Component_124/Component_124_with_bg_2.png,11.8577,0.4508,0.5708
Component_124/Component_124_with_bg_3.png,15.9299,0.7490,0.2335
Component_124/Component_124_with_bg_4.png,12.7151,0.6909,0.4032
Component_124/Component_124_with_bg_5.png,10.6436,0.7051,0.5150
Component_125/Component_125_with_bg_0.png,78.1308,1.0000,0.0000
Component_125/Component_125_with_bg_3.png,76.8935,1.0000,0.0000
Component_126/Component_126_with_bg_0.png,75.8106,1.0000,0.0002
Component_126/Component_126_with_bg_3.png,74.3064,1.0000,0.0000
Component_127/Component_127_with_bg_0.png,73.3045,0.9999,0.0001
Component_127/Component_127_with_bg_3.png,72.7534,0.9999,0.0001
Component_128/Component_128_with_bg_0.png,77.2769,1.0000,0.0000
Component_128/Component_128_with_bg_3.png,80.1485,1.0000,0.0000
Component_128/Component_128_with_bg_5.png,16.7494,0.8281,0.1547
Component_129/Component_129_with_bg_0.png,63.4373,0.9998,0.0042
Component_129/Component_129_with_bg_3.png,77.0999,1.0000,0.0000
Component_129/Component_129_with_bg_5.png,18.2543,0.8330,0.1602
Component_13/Component_13_with_bg_0.png,12.3291,0.5184,0.4078
Component_13/Component_13_with_bg_1.png,12.7683,0.6309,0.3150
Component_13/Component_13_with_bg_3.png,8.5166,0.4525,0.5166
Component_13/Component_13_with_bg_4.png,13.5625,0.6529,0.4045
Component_13/Component_13_with_bg_5.png,10.3144,0.5358,0.4348
Component_130/Component_130_with_bg_0.png,77.5778,1.0000,0.0000
Component_130/Component_130_with_bg_3.png,80.5598,1.0000,0.0000
Component_130/Component_130_with_bg_5.png,16.5467,0.7711,0.2548
Component_131/Component_131_with_bg_0.png,77.7218,1.0000,0.0000
Component_131/Component_131_with_bg_3.png,77.0286,1.0000,0.0000
Component_132/Component_132_with_bg_0.png,63.3555,0.9998,0.0046
Component_132/Component_132_with_bg_3.png,77.9419,1.0000,0.0000
Component_132/Component_132_with_bg_4.png,15.9068,0.8020,0.1881
Component_132/Component_132_with_bg_5.png,17.0125,0.8291,0.1303
Component_133/Component_133_with_bg_0.png,79.8278,1.0000,0.0000
Component_133/Component_133_with_bg_3.png,70.6777,0.9999,0.0001
Component_133/Component_133_with_bg_4.png,15.7730,0.8129,0.1841
Component_133/Component_133_with_bg_5.png,17.0439,0.8311,0.1263
Component_134/Component_134_with_bg_0.png,76.2884,1.0000,0.0001
Component_134/Component_134_with_bg_3.png,71.4384,0.9999,0.0002
Component_134/Component_134_with_bg_4.png,14.5311,0.7669,0.1989
Component_134/Component_134_with_bg_5.png,17.1588,0.8292,0.1273
Component_135/Component_135_with_bg_0.png,77.6062,1.0000,0.0000
Component_135/Component_135_with_bg_3.png,75.0938,1.0000,0.0000
Component_135/Component_135_with_bg_4.png,15.3400,0.7730,0.2011
Component_135/Component_135_with_bg_5.png,20.4148,0.8412,0.1518
Component_136/Component_136_with_bg_0.png,79.7338,1.0000,0.0000
Component_136/Component_136_with_bg_3.png,71.2651,0.9999,0.0000
Component_136/Component_136_with_bg_4.png,16.0049,0.8153,0.1625
Component_136/Component_136_with_bg_5.png,16.9963,0.8307,0.1275
Component_137/Component_137_with_bg_0.png,74.1236,1.0000,0.0001
