image,count_a,count_b,matched,coverage,mean_iou,count_delta
Component_105/Component_105_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_105/Component_105_with_bg_1.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_105/Component_105_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_105/Component_105_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_105/Component_105_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_106/Component_106_with_bg_0.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Component_106/Component_106_with_bg_1.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_106/Component_106_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_106/Component_106_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_106/Component_106_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_107/Component_107_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_107/Component_107_with_bg_1.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_107/Component_107_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_107/Component_107_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_107/Component_107_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_108/Component_108_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_108/Component_108_with_bg_1.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_108/Component_108_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_108/Component_108_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_109/Component_109_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_109/Component_109_with_bg_4.png,1.0000,1.0000,1.0000,1.0000,0.9658,0.0000
Component_109/Component_109_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_11/Component_11_with_bg_0.png,4.0000,4.0000,3.0000,0.7500,0.9073,0.0000
Component_11/Component_11_with_bg_1.png,2.0000,1.0000,1.0000,0.5000,0.9439,1.0000
Component_11/Component_11_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_11/Component_11_with_bg_3.png,2.0000,2.0000,1.0000,0.5000,0.9514,0.0000
Component_11/Component_11_with_bg_4.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_11/Component_11_with_bg_5.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Component_110/Component_110_with_bg_0.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_110/Component_110_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_110/Component_110_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_110/Component_110_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_110/Component_110_with_bg_5.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_111/Component_111_with_bg_0.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_111/Component_111_with_bg_1.png,1.0000,1.0000,1.0000,1.0000,0.9491,0.0000
Component_111/Component_111_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_111/Component_111_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_112/Component_112_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_112/Component_112_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_113/Component_113_with_bg_0.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_113/Component_113_with_bg_1.png,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000
Component_113/Component_113_with_bg_3.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_113/Component_113_with_bg_4.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_113/Component_113_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_114/Component_114_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_114/Component_114_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_114/Component_114_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_114/Component_114_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_114/Component_114_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_115/Component_115_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_115/Component_115_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_115/Component_115_with_bg_3.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_115/Component_115_with_bg_4.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_115/Component_115_with_bg_5.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_116/Component_116_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_116/Component_116_with_bg_1.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_116/Component_116_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
