image,pixel_agreement,miou_proxy
Component_114/Component_114_with_bg_4.png,0.9986,0.4993
Component_114/Component_114_with_bg_5.png,1.0000,1.0000
Component_115/Component_115_with_bg_0.png,1.0000,1.0000
Component_115/Component_115_with_bg_2.png,0.9846,0.2462
Component_115/Component_115_with_bg_3.png,0.9880,0.3478
Component_115/Component_115_with_bg_4.png,1.0000,1.0000
Component_115/Component_115_with_bg_5.png,1.0000,1.0000
Component_116/Component_116_with_bg_0.png,0.9996,0.4998
Component_116/Component_116_with_bg_1.png,1.0000,1.0000
Component_116/Component_116_with_bg_2.png,1.0000,1.0000
Component_116/Component_116_with_bg_3.png,0.9995,0.4997
Component_116/Component_116_with_bg_4.png,0.9961,0.4981
Component_116/Component_116_with_bg_5.png,0.9965,0.4982
Component_117/Component_117_with_bg_0.png,0.9996,0.4998
Component_117/Component_117_with_bg_1.png,1.0000,0.5000
Component_117/Component_117_with_bg_2.png,1.0000,1.0000
Component_117/Component_117_with_bg_3.png,0.9992,0.3331
Component_117/Component_117_with_bg_4.png,0.9937,0.4969
Component_117/Component_117_with_bg_5.png,1.0000,1.0000
Component_118/Component_118_with_bg_0.png,1.0000,1.0000
Component_118/Component_118_with_bg_2.png,0.9892,0.4946
Component_118/Component_118_with_bg_3.png,1.0000,1.0000
Component_118/Component_118_with_bg_4.png,1.0000,1.0000
Component_118/Component_118_with_bg_5.png,1.0000,1.0000
Component_119/Component_119_with_bg_3.png,1.0000,1.0000
Component_119/Component_119_with_bg_4.png,0.9481,0.4740
Component_119/Component_119_with_bg_5.png,1.0000,1.0000
Component_12/Component_12_with_bg_0.png,0.6831,0.3416
Component_12/Component_12_with_bg_4.png,0.9042,0.4521
Component_12/Component_12_with_bg_5.png,0.9842,0.4921
Component_120/Component_120_with_bg_2.png,0.9497,0.6705
Component_120/Component_120_with_bg_3.png,1.0000,1.0000
Component_120/Component_120_with_bg_4.png,0.9992,0.4996
Component_120/Component_120_with_bg_5.png,1.0000,1.0000
Component_121/Component_121_with_bg_0.png,1.0000,1.0000
Component_121/Component_121_with_bg_2.png,0.9415,0.6359
Component_121/Component_121_with_bg_4.png,0.9487,0.2372
Component_122/Component_122_with_bg_1.png,1.0000,1.0000
Component_122/Component_122_with_bg_2.png,0.9886,0.4943
Component_122/Component_122_with_bg_3.png,1.0000,1.0000
Component_122/Component_122_with_bg_4.png,1.0000,1.0000
Component_122/Component_122_with_bg_5.png,1.0000,1.0000
Component_123/Component_123_with_bg_0.png,1.0000,1.0000
Component_123/Component_123_with_bg_2.png,0.9042,0.4521
Component_123/Component_123_with_bg_3.png,0.9974,0.4987
Component_123/Component_123_with_bg_4.png,1.0000,1.0000
Component_123/Component_123_with_bg_5.png,1.0000,1.0000
Component_124/Component_124_with_bg_0.png,0.9854,0.3774
Component_124/Component_124_with_bg_2.png,1.0000,0.5000
Component_124/Component_124_with_bg_3.png,0.9835,0.4918
Component_124/Component_124_with_bg_4.png,0.9751,0.4876
Component_124/Component_124_with_bg_5.png,1.0000,1.0000
Component_125/Component_125_with_bg_0.png,1.0000,0.9782
Component_125/Component_125_with_bg_3.png,0.9999,0.9650
Component_126/Component_126_with_bg_0.png,1.0000,0.9896
Component_126/Component_126_with_bg_3.png,1.0000,0.9793
Component_127/Component_127_with_bg_0.png,1.0000,0.9914
Component_127/Component_127_with_bg_3.png,0.9999,0.9467
Component_128/Component_128_with_bg_0.png,1.0000,0.9875
Component_128/Component_128_with_bg_3.png,1.0000,0.9824
Component_128/Component_128_with_bg_5.png,0.9990,0.4995
Component_129/Component_129_with_bg_0.png,0.9999,0.9181
Component_129/Component_129_with_bg_3.png,0.9999,0.9439
Component_129/Component_129_with_bg_5.png,0.9968,0.4984
Component_13/Component_13_with_bg_0.png,0.9643,0.4822
Component_13/Component_13_with_bg_1.png,0.9898,0.3299
Component_13/Component_13_with_bg_3.png,0.9921,0.4961
Component_13/Component_13_with_bg_4.png,0.9923,0.4962
Component_13/Component_13_with_bg_5.png,0.9563,0.4782
Component_130/Component_130_with_bg_0.png,0.9999,0.9274
Component_130/Component_130_with_bg_3.png,1.0000,0.9894
Component_130/Component_130_with_bg_5.png,0.9800,0.3727
Component_131/Component_131_with_bg_0.png,1.0000,0.9768
